                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2687,                 1.3398,                 0.9935,                0.30117,                0.48824,                0.25956,                0.25707,                 0.1208,                 1.1009,                0.72661,              0.0033324,              0.0033324,              0.0033324
                      2,                0.29719,                 1.1815,                0.98577,                0.68718,                0.36445,                0.27222,                0.26872,                0.11623,                 1.0819,                0.72463,              0.0065998,              0.0065998,              0.0065998
                      3,                0.31281,                 1.2022,                0.99314,                0.54727,                0.46764,                0.26027,                0.25727,                0.12218,                 1.1104,                0.72943,              0.0098011,              0.0098011,              0.0098011
                      4,                0.28981,                 1.1955,                0.98251,                0.56825,                0.42216,                0.27194,                0.26924,                0.10374,                 1.0591,                0.71578,               0.009703,               0.009703,               0.009703
                      5,                0.25703,                 1.1651,                0.96612,                0.58898,                0.39793,                  0.285,                0.28256,                0.09535,                 1.0525,                  0.709,               0.009703,               0.009703,               0.009703
                      6,                0.23928,                 1.1491,                0.95835,                0.33073,                0.47448,                0.29847,                0.29584,                0.09275,                 1.0191,                0.70884,               0.009604,               0.009604,               0.009604
                      7,                0.23132,                 1.1347,                0.95433,                0.58151,                0.44134,                0.30608,                0.30338,                0.08815,                 1.0084,                0.70452,               0.009505,               0.009505,               0.009505
                      8,                0.22311,                 1.1253,                0.95063,                0.62879,                0.39547,                0.31381,                0.31141,                0.08616,                 1.0029,                  0.701,               0.009406,               0.009406,               0.009406
                      9,                0.21595,                 1.1117,                0.94526,                0.62197,                0.40895,                0.32376,                0.32111,                 0.0857,                0.98413,                0.70121,               0.009307,               0.009307,               0.009307
                     10,                0.21314,                 1.1051,                0.94462,                0.48754,                0.41329,                0.32057,                0.31791,                0.08402,                0.98511,                0.69989,               0.009208,               0.009208,               0.009208
                     11,                0.21163,                 1.1043,                0.94354,                0.62996,                0.39051,                0.33317,                0.33052,                0.08321,                0.97648,                0.69879,               0.009109,               0.009109,               0.009109
                     12,                0.20596,                 1.0959,                0.94155,                0.63558,                0.40002,                 0.3306,                0.32814,                0.08272,                0.97299,                0.69881,                0.00901,                0.00901,                0.00901
                     13,                0.20313,                 1.0893,                0.93969,                0.61943,                0.41812,                0.33508,                0.33247,                0.08184,                0.96864,                0.69627,               0.008911,               0.008911,               0.008911
                     14,                0.20086,                 1.0872,                0.93788,                0.62242,                0.43123,                0.33915,                0.33659,                 0.0809,                0.96921,                0.69602,               0.008812,               0.008812,               0.008812
                     15,                0.19933,                 1.0836,                0.93796,                 0.6268,                0.40754,                 0.3381,                0.33545,                0.07973,                0.96504,                0.69567,               0.008713,               0.008713,               0.008713
                     16,                0.19866,                 1.0791,                 0.9366,                0.63656,                0.40249,                0.34102,                0.33826,                 0.0798,                0.96219,                0.69578,               0.008614,               0.008614,               0.008614
                     17,                0.19721,                 1.0764,                0.93539,                0.63136,                0.41099,                0.34222,                0.33947,                0.07905,                0.96079,                0.69527,               0.008515,               0.008515,               0.008515
                     18,                0.19474,                 1.0696,                0.93472,                0.63166,                0.42036,                0.34434,                0.34168,                0.07879,                0.95967,                0.69482,               0.008416,               0.008416,               0.008416
